Code,Name,Link
ЧИСТОПОЛЬЕ,36.16986841073971,45.371893538859055
ЭЛЕВАТОРНАЯ,34.131859426913856,45.29131800820156
ЯРКАЯ,33.810652345843124,45.16446777583635
ЦЕМГИГАНТ,38.755500065151196,55.25101659459504
ЦЕМЕНТНАЯ,38.9212259865081,54.23128062857048
ЦЕХ,34.674211630576686,54.10219403949984
ЦИОЛКОВСКАЯ,38.10309285250052,55.870316511772565
ЦОН,36.028542647815385,52.92618669922525
ЧАПАЕВКА,36.63533278831529,55.579054178299025
ЧАСЦОВСКАЯ,36.78642935449196,55.59619460435716
ЧЕКАЛИН,36.292817224536705,54.051387840260496
ЧЕЛЮСКИНСКАЯ,37.79986330688465,55.947780094528476
ЧЕМОДАНОВКА,39.985212035373344,54.08688138103097
ЧЕНУР,41.31945221857893,54.81283751642802
ЧЕПЕЛЕВО,37.48642335449212,55.18128816081502
ЧЕРЕМИСИНОВО,37.25746255323376,51.884168421924734
ЧЕРЕПЕТЬ,36.34705036672558,54.101191152976206
ЧЕРКИЗОВО,37.74595338392241,55.803854724265335
ЧЕРНАЯ,38.918309917288916,55.02653328569652
ЧЕРНЕТОВО,34.0109000501693,53.39386501680505
ЧЕРНЕЦ,34.504602257602585,53.28699818427376
ЧЕРНЕЦКОЕ,37.28128126885585,55.254283279362866
ЧЕРНОЕ,38.05967481810709,55.753172309832685
ЧЕРНЬ,36.789078652778464,53.43367845968717
ЧЕРТАНОВО,37.62729676686463,55.631001835796205
ЧЕРУСТИ,40.00473257539179,55.54235476964804
ЧЕХОВ,37.489967,55.148935
ЧЕХОВСКАЯ,36.79739044543812,55.91168299858919
ЧИЖКИ,36.47990779883823,52.948306357677986
ЧИПЛЯЕВО,34.1973763885377,54.38785633847731
ЧИСМЕНА,36.21406274568493,56.01816271063515
ЧИЧКОВО,34.46278273460277,52.98276071102832
ЧКАЛОВСКАЯ,38.059456599513396,55.8986023434879
ТОГУЛЕНОК,85.78578136597802,53.96199273856736
ТОГУЧИН,84.48698876212369,55.182569695626434
ТОМСК I,84.9912656617235,56.46034450139895
ТОМСК II,84.99912227941462,56.506768192674414
ТОМСК-ГРУЗОВОЙ,84.99267754492126,56.538572677989976
ТОМСК-ГРУЗОВОЙ (ПЕРЕВ.),84.93289491272536,56.508039741505065
ТОМСК-СЕВЕРНЫЙ,85.05436958386893,56.54128986046514
ТОМУСИНСКАЯ,87.601377307803,53.76337327763337
ТОПКИ,85.61491531409351,55.277965754269516
ТОПОЛЬНИКИ,87.18129887037708,53.76838197935994
ТОПЧИХА,83.11640121328257,52.81644054098124
ТОРСЬМА,85.30441060764912,54.98735375909762
ТРАКТОРНЫЙ,81.24430223056783,51.57943797116153
ТРУД,73.37063384421204,54.92821077926725
ТРУДАРМЕЙСКАЯ,86.40459946990539,54.126622281485005
ТРУНОВСКОЕ,78.75154476643087,55.3424367138423
ТУГАН,85.33569393358133,56.700886923472915
ТУРСУМБАЙ,75.52325887322,53.839511220902786
ТУТАЛЬСКАЯ,84.98861134844812,55.75538726052669
ТЫП,84.5235343328019,55.69131672218653
ТЫРГАН,86.34575627802602,54.13452748857598
ТЯГУН,85.66168922886585,53.947375676293476
УБИНСКАЯ,79.66319437399567,55.30328323159331
УГЛЕРОД,86.50431439286749,54.0930951084666
УЛУ-ЮЛ,85.78375242997637,57.71175627790975
УЛУС,86.23698726191644,54.3264119202092
УНИВЕРСАЛЬНАЯ,73.44000744047513,54.982535340224985
УРЛЮТЮБ,75.34027357851545,53.85663280575764
УРЫВАЕВО,79.85910658497184,53.762888621112126
ОСТАНОВОЧНЫЙ ПУНКТ 77 КМ,58.23648133157475,57.88389803653386
ОСТАНОВОЧНЫЙ ПУНКТ 77 КМ,56.908540538867435,58.603451176520636
ОСТАНОВОЧНЫЙ ПУНКТ 77 КМ,61.58609466691373,59.215272912811194
ОСТАНОВОЧНЫЙ ПУНКТ 78 КМ,61.633974279848125,56.4847918450924
ОСТАНОВОЧНЫЙ ПУНКТ 8 КМ,56.58711881119283,58.43843424518542
ОСТАНОВОЧНЫЙ ПУНКТ 8 КМ,55.5575157218091,58.0875515521206
ОСТАНОВОЧНЫЙ ПУНКТ 80 КМ,61.03974527386398,57.966706695947984
ОСТАНОВОЧНЫЙ ПУНКТ 80 КМ,66.57570671271868,57.505896196665304
ОСТАНОВОЧНЫЙ ПУНКТ 82 КМ,61.6915469926825,56.470968370715475
ОСТАНОВОЧНЫЙ ПУНКТ 83 КМ,57.20962690570223,58.10724635726958
ОСТАНОВОЧНЫЙ ПУНКТ 9 КМ,57.13388156527302,58.1558727037775
ОСТАНОВОЧНЫЙ ПУНКТ 93 КМ,61.574256395928494,57.35869890244352
ОСТАНОВОЧНЫЙ ПУНКТ 94 КМ,58.437950097310335,57.81814580228651
ОСТАНОВОЧНЫЙ ПУНКТ 97 КМ,61.803088463404904,59.09879326340704
ОСТАНОВОЧНЫЙ ПУНКТ 98 КМ,57.06030180924411,58.74857730739283
ОСТРОВНОЙ,73.1681878898961,61.15793088922922
ОУС,61.503879343013345,60.892864652138186
ОЩЕПКОВО,63.26643728541826,56.976460063142554
ПАЛКИНО,60.4055376474679,56.880726011686455
